3D打印成本计算,,,,,,,,,,,,,,
名称,商品图片,模型克数/g,打印时间/h,耗材价格/kg,后处理物料费,人工费,数量,盘数,单个耗时/h,"单个成本
（料+电）","预计售价
（含时间成本）",实际售价,利润,利润率
圣诞树扩展式解压玩具,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEHtOBwjQIKiqEemLLuy7RWok4MUfyS7G1uVtkLZOFuJP7Y.zuP9w4R4oOhz5iaROWaLH..6IptBY1Cobz.1A5CY!/b&bo=zgdsBM4HbAQDh6I!&rf=viewer_4,180,6,39,0,0,3,1,2,2.59,20.425,20,17.41,
弹簧刀,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEPHuc469xELlOAM.Qe4fqNv1Z*afXZbAkCbo1aiBx0mE5vOeL4g6csBYFMEFCbkP6wQo2a7WEzTrJ8pv8YLaKqM!/b&bo=qATSBKgE0gQDh6I!&rf=viewer_4,136,5,39,0,1,4,2,1.25,1.48225,12.366875,10,8.51775,
弹簧猫,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEKjAReLbSv8XL1FOz.CIIcwKUzZJeI*Wr23IPKKHnMMh02cDjejWFgQdl5RFZm3zq.JuyYvRrUCf.xQvm9y3hro!/b&bo=GghkBBoIZAQDh6I!&rf=viewer_4,40,1.5,39,0,0,1,1,1.5,1.7475,13.85625,15,13.2525,
小龙-30,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEOClHgUZxDM3zZXFBslVKfaqlgBDNUHZsTbgdkTeEIpccN42KEwNK5IyWwKjt55Qb4yJblkLcRz2kwnNb15YbHk!/b&bo=PAZaAzwGWgMDZ0I!&rf=viewer_4,120,10,39,0,1,6,1,1.666666667,0.988333333,8.245833333,10,9.011666667,
中龙-45,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEOClHgUZxDM3zZXFBslVKfaqlgBDNUHZsTbgdkTeEIpccN42KEwNK5IyWwKjt55Qb4yJblkLcRz2kwnNb15YbHk!/b&bo=PAZaAzwGWgMDZ0I!&rf=viewer_4,142,13,39,0,0,4,1,3.25,1.79075,15.055625,20,18.20925,
大龙-60,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEGrKi**hCEAaTl2usJS9ZKnGpoaDHVRKD9VbxNCbpeew1BYhJy781Qelvt79P2rHwWmkLJFTpdk.gkpDQ4fAALM!/b&bo=NgacBDYGnAQDd1I!&rf=viewer_4,199,11,45,0,0,2,1,5.5,5.165,41.4875,40,34.835,
骰子,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEGrKi**hCEAaTl2usJS9ZKnEMlJKL.CYelpIKBQTkZ1XhNqbJiIfLo1WABSQTgAi7iLxTLWtqjdUhSo.NqE6Y4E!/b&bo=TgaMBE4GjAQDd1I!&rf=viewer_4,122,6,39,,1,4,2,1.5,1.377,11.8275,10,8.623,
小章鱼,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEPMcTkyR793faZYiQjcvyVE.Q8ZB4yhxLBmLSmhFTJc4MXNbE.lacLLf8v1EZRQfvZq32nsxcRSUB9EhlsrI5c0!/b&bo=UAOEA1ADhAMDV3I!&rf=viewer_4,147,10,39,0,1,2,2,2.5,1.74575,15.593125,20,18.25425,
宇航员,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEGrKi**hCEAaTl2usJS9ZKlCxrGib9I3ycfIg2hXERRg5Vtaulv1pLFNJmde6HaUqrlhpKsT1yAkiayLoa59S9A!/b&bo=vgJaA74CWgMDR2I!&rf=viewer_4,289,12.5,45,0,0,3,1,4.166666667,4.855833333,38.50208333,30,25.14416667,
跳动的圣诞树,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEB4zR4YjrPsUmZJbI3.32lZZL0If*iwoPbPmUp7eU5SvgL57hu5uez*ptC59E*IPcBsvHWIEwqp6IvS*ZF3ze9E!/b&bo=0ATcBNAE3AQDNxI!&rf=viewer_4,74,3,39,0,0,1,2,3,3.261,27.4575,30,26.739,
分体青蛙,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEB4zR4YjrPsUmZJbI3.32lbJjDcMv00odlBaIcMk4fq0gwixgMqi2*zOkkh6cav*MpxzgKdzRr15b2gXfR*rFpk!/b&bo=OgNKAjoDSgIDNxI!&rf=viewer_4,162,8,39,0,1,3,2,2.666666667,2.439333333,20.96166667,30,27.56066667,
机甲蜜蜂,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEB4zR4YjrPsUmZJbI3.32lYrLQiE4o6MH87dBaOqPdd7CaICT6zWeJ3xXVq5sv3FCqwGH67.nSzPw957uKg7bQY!/b&bo=VAQyA1QEMgMDZ0I!&rf=viewer_4,140,7.5,45,0,0,2,1,3.75,3.61875,29.015625,30,26.38125,
旋转南瓜,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEB4zR4YjrPsUmZJbI3.32lYEHGdvEB6bPw0ivE*.iyN5QbK6tTjdbLq2.nzSR1.uPVerZWQe1mK8cY.wJBsGTiQ!/b&bo=xgWSA8YFkgMDZ0I!&rf=viewer_4,121,5,39,0,0,4,1,1.25,1.336,10.645,10,8.664,
旋转葫芦,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrECHPKrpVMC8REL3QLUqSzqqys*MLEVtfFaOwBCjMDSmiX4EQJBqF*qICxqYQAkRCDe71HN1rZjX2WPZklOLP55w!/b&bo=5gOkBOYDpAQDR2I!&rf=viewer_4,215,14,45,0,0,6,2,2.333333333,1.904166667,16.61458333,15,13.09583333,
菠萝章鱼手雷,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrECHPKrpVMC8REL3QLUqSzqo*zmMFYKonaRWbZtjDsA4OgwsKqXiIe.pWa02GBp73GDnu.5Ggi.uMYGpdXss5grs!/b&bo=UAYcBFAGHAQDd1I!&rf=viewer_4,122,6.5,39,0,0,1,1,6.5,5.5705,45.02875,40,34.4295,
带助推器的火箭,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrECHPKrpVMC8REL3QLUqSzqouhN1PDmEBBEWAn1RbH*fz7.nbG0Jx3FqU0jLq.BRUui0IjPXxdZY1faFE2Yk52KQ!/b&bo=UgaCBFIGggQDR2I!&rf=viewer_4,172,5,39,0,0,6,2,0.833333333,1.222166667,9.999583333,15,13.77783333,
螺旋穿越圣诞树,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEOClHgUZxDM3zZXFBslVKfZLkgNgxNq*Im1GnaepEMiSmu.QjfHem79Rm1JsAFtuqB34p7R4pzNyVsMQcH0Xfdg!/b&bo=igYkBIoGJAQDh6I!&rf=viewer_4,74,4,39,0,0,2,2,2,1.693,14.6975,20,18.307,
伸缩萝卜刀,,249,8,39,0,0,4,3,2,2.67775,23.083125,15,12.32225,
伸缩香蕉刀-85%,,243,10,30,1,1,2,2,5,4.77,40.775,,-4.77,
伸缩香蕉刀-80%,,106,6.5,30,1,1,1,2,6.5,4.9925,43.94375,,-4.9925,
潜艇,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEKjAReLbSv8XL1FOz.CIIcw0rvEcysGK.HOlrrtWSn94NJ4kABX10px9Ei7qslODFL2H.eShQq5E*SAslnZ.VxI!/b&bo=SgbYA0oG2AMDV3I!&rf=viewer_4,226,6.5,39,0,1,1,2,6.5,9.6265,78.69875,40,30.3735,
祥云葫芦,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrECHPKrpVMC8REL3QLUqSzqpyzDxMA6w7kSiZNOZijvKJ9A740Q5cA*Gj4UHVsxd60eGgsGaMXSkC4L0v7LKe13E!/b&bo=pAMsBKQDLAQDV3I!&rf=viewer_4,153,9,39,0,0,1,1,9,7.092,57.69,40,32.908,
魔鬼鱼,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEOClHgUZxDM3zZXFBslVKfbmR9lmM2Bf5HC3FFhVZ2IRiigZ0Jk70zjCL1XFiE6g0JTU5H0UtM0Y0Cm0IWMooWI!/b&bo=WAZQBFgGUAQDd1I!&rf=viewer_4,218,13.5,39,0,0,3,1,4.5,3.3965,27.72375,30,26.6035,
双色解压陀螺,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEOClHgUZxDM3zZXFBslVKfZaw56Uqjc2e.CB7D9XZqH0xVcfe7G4ebj1hHT2ELX57oRNwNwOLyGjd3pM8CxjrsM!/b&bo=RgY6BEYGOgQDZ0I!&rf=viewer_4,39,3,39,0,0,1,1,3,1.896,16.668,15,13.104,
胖20,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEKjAReLbSv8XL1FOz.CIIcxH..3yr0yQDFb5*ZprOa9IXQbn.NucCdhqwqhRwZ1UrVpYhRiG.ha7yo4byWlD9zU!/b&bo=SAZcBEgGXAQDNxI!&rf=viewer_4,406,15.5,30,0,5,1,4,15.5,14.1175,143.94,149,134.8825,
Q版胖20,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEKjAReLbSv8XL1FOz.CIIcx77S8IlQ7zOtU4IV4YEE5OEWn4AYUOMCCE9qDWB.wIqZZyzQhJG3VIOI6t63ZVbFA!/b&bo=TAaSBEwGkgQDZ0I!&rf=viewer_4,237,12,30,0,5,1,2,12,8.61,80.88,80,71.39,
40蝰蛇-白蛇,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrEGrKi**hCEAaTl2usJS9ZKl2xhwYJ.pAYvhDDMVEWx4AGryAhQY7SMAgvOgVUUA77YKly.Cm6EZmF2G9gu6R3SI!/b&bo=TAZKBEwGSgQDZ0I!&rf=viewer_4,158,13.5,39,0,1,4,1,3.375,1.962375,17.3865,20,18.037625,
机甲乌龟-80%,https://m.qpic.cn/psc?/V50ULUAl1k4P8y0KGe6m2OrQYV0lL3JS/TmEUgtj9EK6.7V8ajmQrED.xfiHYHDkcdXLoPHGEj5hShNIPxGjcgYEwF8MR8cQiHMbhQrqje2MzE*2agox0mJaPwxIbZejJMtIW13pQmfI!/b&bo=8AQkA*AEJAMDByI!&rf=viewer_4,87,5.5,39,0,0,1,1,5.5,4.0805,35.394,30,25.9195,
螺旋伸缩剑mini版,,145,7.5,39,0,0,1,1,7.5,6.5925,56.49,30,23.4075,
